periodo,fecha,sharpe,accuracy,pct_activo
1,2012-03-21,-0.119,0.746,79.4
2,2012-06-18,-1.244,0.667,82.5
3,2012-09-13,0.562,0.349,66.7
4,2012-12-12,-2.424,0.444,46.0
5,2013-03-11,0.739,0.27,82.5
6,2013-06-06,-2.46,0.746,55.6
7,2013-09-03,-1.804,0.524,27.0
8,2013-12-02,0.0,0.619,0.0
9,2014-02-27,0.0,0.413,0.0
10,2014-05-27,0.0,0.746,0.0
11,2014-08-22,-2.234,0.27,63.5
12,2014-11-19,2.23,0.921,87.3
13,2015-02-16,0.494,0.508,100.0
14,2015-05-14,-0.041,0.587,93.7
15,2015-08-11,-2.878,0.492,88.9
16,2015-11-06,-0.111,0.302,100.0
17,2016-02-03,-3.625,0.476,65.1
18,2016-05-02,0.164,0.619,42.9
19,2016-07-28,0.0,0.365,0.0
20,2016-10-25,-2.708,0.556,74.6
21,2017-01-20,-1.143,0.492,42.9
22,2017-04-19,-4.938,0.159,65.1
23,2017-07-18,1.065,0.619,65.1
24,2017-10-13,1.68,0.571,9.5
25,2018-01-11,-0.49,0.492,85.7
26,2018-04-10,0.509,0.46,49.2
27,2018-07-06,-3.543,0.413,23.8
28,2018-10-03,0.0,0.429,0.0
29,2018-12-31,-0.908,0.714,20.6
30,2019-03-28,0.0,0.444,0.0
31,2019-06-26,0.0,0.762,0.0
32,2019-09-23,0.0,0.508,0.0
33,2019-12-19,-0.147,0.683,11.1
34,2020-03-17,0.647,0.349,57.1
35,2020-06-12,1.099,0.317,65.1
36,2020-09-09,-2.299,0.349,15.9
37,2020-12-07,0.0,0.381,0.0
38,2021-03-04,0.0,0.492,0.0
39,2021-06-01,0.0,0.46,0.0
40,2021-08-27,0.0,0.254,0.0
41,2021-11-24,-1.377,0.317,11.1
42,2022-02-21,-0.92,0.46,76.2
43,2022-05-19,-0.353,0.873,84.1
44,2022-08-16,0.744,0.46,95.2
45,2022-11-11,1.286,0.603,90.5
46,2023-02-08,-1.509,0.397,98.4
47,2023-05-08,1.777,0.714,11.1
48,2023-08-03,1.053,0.429,7.9
49,2023-10-31,0.078,0.667,38.1
50,2024-01-26,0.0,0.302,0.0
51,2024-04-24,0.0,0.683,0.0
52,2024-07-22,0.0,0.556,0.0
53,2024-10-17,1.604,0.54,47.6
54,2025-01-15,-2.999,0.825,54.0
55,2025-04-14,-2.446,0.302,82.5
56,2025-07-14,-0.444,0.508,38.1
57,2025-10-09,0.0,0.381,0.0
