periodo,fecha,sharpe,accuracy,dias_activo,pct_activo,año,bueno
1,2013-09-03,-1.763,0.587,16,25.4,2013,False
2,2013-12-02,0.0,0.587,0,0.0,2013,False
3,2014-02-27,0.0,0.397,0,0.0,2014,False
4,2014-05-27,0.0,0.937,0,0.0,2014,False
5,2014-08-22,-2.515,0.476,25,39.7,2014,False
6,2014-11-19,-1.208,0.54,43,68.3,2014,False
7,2015-02-16,-0.58,0.571,51,81.0,2015,False
8,2015-05-14,0.101,0.508,51,81.0,2015,True
9,2015-08-11,-3.736,0.349,52,82.5,2015,False
10,2015-11-06,-1.136,0.524,47,74.6,2015,False
11,2016-02-03,-4.373,0.714,35,55.6,2016,False
12,2016-05-02,-0.563,0.46,32,50.8,2016,False
13,2016-07-28,0.0,0.571,0,0.0,2016,False
14,2016-10-25,0.242,0.81,48,76.2,2016,True
15,2017-01-20,-1.101,0.571,32,50.8,2017,False
16,2017-04-19,-4.815,0.222,39,61.9,2017,False
17,2017-07-18,-0.759,0.54,41,65.1,2017,False
18,2017-10-13,1.245,0.302,7,11.1,2017,True
19,2018-01-11,0.172,0.46,41,65.1,2018,True
20,2018-04-10,1.581,0.476,19,30.2,2018,True
21,2018-07-06,-0.531,0.603,17,27.0,2018,False
22,2018-10-03,0.0,0.476,0,0.0,2018,False
23,2018-12-31,0.935,0.683,15,23.8,2018,True
24,2019-03-28,0.0,0.492,0,0.0,2019,False
25,2019-06-26,0.0,0.603,0,0.0,2019,False
26,2019-09-23,0.0,0.556,0,0.0,2019,False
27,2019-12-19,-0.147,0.619,7,11.1,2019,False
28,2020-03-17,0.711,0.397,16,25.4,2020,True
29,2020-06-12,2.623,0.413,15,23.8,2020,True
30,2020-09-09,-2.299,0.302,10,15.9,2020,False
31,2020-12-07,0.0,0.302,0,0.0,2020,False
32,2021-03-04,0.0,0.206,0,0.0,2021,False
33,2021-06-01,0.0,0.222,0,0.0,2021,False
34,2021-08-27,0.0,0.444,0,0.0,2021,False
35,2021-11-24,-0.792,0.492,11,17.5,2021,False
36,2022-02-21,-3.196,0.46,51,81.0,2022,False
37,2022-05-19,-2.94,0.921,51,81.0,2022,False
38,2022-08-16,1.04,0.492,61,96.8,2022,True
39,2022-11-11,3.995,0.825,44,69.8,2022,True
40,2023-02-08,-2.019,0.571,51,81.0,2023,False
41,2023-05-08,0.078,0.667,5,7.9,2023,True
42,2023-08-03,1.053,0.508,5,7.9,2023,True
43,2023-10-31,-2.241,0.46,34,54.0,2023,False
44,2024-01-26,0.0,0.651,0,0.0,2024,False
45,2024-04-24,0.0,0.444,0,0.0,2024,False
46,2024-07-22,0.0,0.54,0,0.0,2024,False
47,2024-10-17,2.547,0.587,21,33.3,2024,True
48,2025-01-15,-0.711,0.302,55,87.3,2025,False
49,2025-04-14,0.514,0.286,38,60.3,2025,True
50,2025-07-14,3.548,0.46,24,38.1,2025,True
51,2025-10-09,0.0,0.413,0,0.0,2025,False
